일시,요일,등록기관,철도구분,사고 종류,철도사고 종류,주원인,근본원인별 그룹,근본원인별 원인,근본원인별 상세,총피해명,사망,부상(중상),경상,총 피해액(백만원),노선,노선방향,발생장소,기상상태,온도,안개유무,연도,발생장소a,발생장소b
2016-07-04,월,KORAIL,일반철도,사고,충돌-탈선-화재,자연재해-낙석,외적요인,환경요인,강우,0,0,0,0,139.4,영동선,하행선,석포-승부,비,21.5,0,2016,석포,승부
2016-06-30,목,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경인선,상행선,간석,구름,25,0,2016,간석,
2016-06-28,화,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0.3,중앙선,하행선,팔당,맑음,27,0,2016,팔당,
2016-06-28,화,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-차단기 돌파/우회,인적요인,공중,불법행위,2,0,2,0,0,기타선,하행선,점촌-주평,맑음,26,0,2016,점촌,주평
2016-06-25,토,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,수인분당선(구.분당선),상행선,이매,구름,26,0,2016,이매,
2016-06-23,목,KORAIL,일반철도,사고,교통사상사고-직원,직원(교통)-부주의한 행동,인적요인,역무원,부주의/오류,1,0,1,0,0,기타선,상행선,오봉,구름,23.6,1,2016,오봉,
2016-06-18,토,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,12.1,경부선,하행선,신탄진-매포,구름,25,0,2016,신탄진,매포
2016-06-15,수,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,중앙선,상행선,원주-만종,구름,21,0,2016,원주,만종
2016-06-10,금,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,중앙선,하행선,대신-김천,구름,22.1,0,2016,대신,김천
2016-06-09,목,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-일단정지 무시횡단,인적요인,공중,불법행위,0,0,0,0,0,교외선,하행선,벽제-일영,맑음,31,0,2016,벽제,일영
2016-06-08,수,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0,중앙선,하행선,영천,구름,22.1,0,2016,영천,
2016-06-01,수,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경인선,하행선,백운,맑음,22,0,2016,백운,
2016-05-30,월,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,중앙선,상행선,원주-만종,맑음,28.1,0,2016,원주,만종
2016-05-29,일,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,0,1,0,0,경원선,상행선,외대앞,구름,21,0,2016,외대앞,
2016-05-28,토,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0,대구선,상행선,봉정-금호,맑음,24.9,0,2016,봉정,금호
2016-05-26,목,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,4.2,경부선,상행선,추풍령-황간,구름,25,0,2016,추풍령,황간
2016-05-26,목,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-기타,인적요인,공중,불법행위,0,0,0,0,0.7,동해남부선,상행선,기장-좌천,구름,21,0,2016,기장,좌천
2016-05-25,수,KORAIL,고속철도,사고,충돌-탈선-화재,운전자-기타,인적요인,기관사,규정위반,0,0,0,0,0,공항철도선,하행선,인천공항1터미널,맑음,26,0,2016,인천공항1터미널,
2016-05-12,목,KORAIL,일반철도,사고,안전사상사고-공중,공중(안전)-기타,인적요인,공중,불법행위,1,0,1,0,0,장항선,하행선,광천-청소,맑음,23.2,0,2016,광천,청소
2016-05-11,수,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,0,1,0,0,경춘선,상행선,평내호평,구름,14.2,0,2016,평내호평,
2016-05-09,월,KORAIL,고속철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,3.5,경부선,상행선,화명-물금,구름,24,0,2016,화명,물금
2016-05-09,월,KORAIL,도시철도,사고,충돌-탈선-화재,유지보수자-유지보수미비,인적요인,작업자,규정위반,0,0,0,0,14.3,경부선,하행선,노량진,맑음,18.7,0,2016,노량진,
2016-05-08,일,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-선로무단통행,인적요인,여객,불법행위,1,0,1,0,0,경부선,하행선,동대구,맑음,21.5,0,2016,동대구,
2016-05-08,일,KORAIL,도시철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,수인분당선(구.수인선),하행선,송도-인하대,맑음,20.5,0,2016,송도,인하대
2016-05-04,수,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-선로무단통행,인적요인,여객,불법행위,1,0,1,0,0,경의선,하행선,파주,맑음,18.1,0,2016,파주,
2016-05-04,수,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,장항선,상행선,온양온천,맑음,18.1,0,2016,온양온천,
2016-05-02,월,KORAIL,일반철도,사고,안전사상사고-공중,공중(안전)-기타,인적요인,공중,불법행위,1,0,1,0,0,기타선,상행선,태화강-장생포,구름,22.2,0,2016,태화강,장생포
2016-04-25,월,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,불법행위,1,0,1,0,0,경부선,하행선,대전,맑음,21,0,2016,대전,
2016-04-22,금,KORAIL,일반철도,사고,충돌-탈선-화재,운전자-과속운행,인적요인,기관사,규정위반,7,1,6,0,1722,전라선,하행선,율촌,구름,16,0,2016,율촌,
2016-04-20,수,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경인선,상행선,부천,구름,17.5,0,2016,부천,
2016-04-18,월,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,중앙선,하행선,동화-만종,맑음,9.2,0,2016,동화,만종
2016-04-11,월,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경원선,상행선,도봉,맑음,19.8,0,2016,도봉,
2016-03-27,일,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-차단기 돌파/우회,인적요인,공중,불법행위,0,0,0,0,0,태백선,상행선,쌍용-연당,구름,8.1,0,2016,쌍용,연당
2016-03-23,수,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-선로무단통행,인적요인,여객,불법행위,1,0,1,0,0,중앙선,하행선,도심,구름,9,0,2016,도심,
2016-03-17,목,KORAIL,일반철도,사고,충돌-탈선-화재,운전자-과속운행,인적요인,작업자,규정위반,0,0,0,0,1.4,충북선,상행선,내수-오근장,구름,17,0,2016,내수,오근장
2016-03-15,화,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0.2,중앙선,상행선,군포,맑음,6,0,2016,군포,
2016-03-13,일,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,0,1,0,0,경인선,상행선,오류동,구름,6.3,0,2016,오류동,
2016-03-12,토,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,불법행위,1,0,1,0,0,경인선,하행선,백운,맑음,1.3,0,2016,백운,
2016-03-11,금,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,영동선,하행선,묵호-동해,맑음,1,0,2016,묵호,동해
2016-03-11,금,KORAIL,일반철도,사고,충돌-탈선-화재,기타-기타(기술),기술적요인,열차차량설비,기타,0,0,0,0,618.9,경부선,상행선,신탄진-매포,맑음,4,0,2016,신탄진,매포
2016-03-09,수,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,영동선,하행선,동해-묵호,눈,2.2,0,2016,동해,묵호
2016-02-25,목,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-선로무단통행,인적요인,여객,불법행위,1,0,1,0,0,경원선,하행선,광운대,구름,2.5,0,2016,광운대,
2016-02-25,목,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,불법행위,1,1,0,0,1.5,경부선,하행선,삼랑진-원동,맑음,3.7,0,2016,삼랑진,원동
2016-02-25,목,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,불법행위,1,1,0,0,0,경부선,하행선,노량진,구름,1.3,0,2016,노량진,
2016-02-21,일,KORAIL,도시철도,사고,안전사상사고-여객,여객(안전)-승강장(역) 추락(자살),인적요인,여객,자살,1,1,0,0,0,중앙선,하행선,양정,맑음,2.3,0,2016,양정,
2016-02-20,토,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-승하차시 넘어짐,인적요인,여객,부주의/오류,1,0,1,0,0,경부선,상행선,노량진,맑음,4.3,0,2016,노량진,
2016-02-18,목,KORAIL,일반철도,사고,안전사상사고-직원,직원(안전)전기감전,인적요인,작업자,부주의/오류,1,0,1,0,0,경의선,상행선,수색,구름,7.2,0,2016,수색,
2016-02-16,화,KORAIL,일반철도,사고,충돌-탈선-화재,유지보수자-유지보수미비,인적요인,작업자,부주의/오류,0,0,0,0,0.1,대구선,상행선,하양-청천,구름,4.9,0,2016,하양,청천
2016-02-15,월,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-기타,인적요인,여객,불법행위,1,0,1,0,0,수인분당선(구.분당선),하행선,구룡,구름,-4.2,0,2016,구룡,
2016-02-09,화,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경인선,하행선,부천,맑음,6.3,0,2016,부천,
2016-02-08,월,KORAIL,고속철도,사고,교통사상사고-여객,여객(교통)-선로무단통행,인적요인,여객,불법행위,1,1,0,0,0,호남선,상행선,함열,맑음,5.9,0,2016,함열,
2016-02-06,토,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경원선,하행선,도봉산,맑음,-6.1,0,2016,도봉산,
2016-02-03,수,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-출입문에 끼임,인적요인,승무원(기관사외),부주의/오류,1,1,0,0,0,수도권도시철도 1호선,하행선,지하서울,맑음,-6.7,0,2016,지하서울,
2016-02-02,화,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-차단기 돌파/우회,인적요인,공중,불법행위,0,0,0,0,0,장항선,상행선,장항,맑음,0.5,0,2016,장항,
2016-01-31,일,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,0,1,0,0,중앙선,상행선,만종-원주,맑음,1.7,0,2016,만종,원주
2016-01-29,금,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,중앙선,하행선,모량-율동,구름,2.7,0,2016,모량,율동
2016-01-25,월,KORAIL,도시철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0,경인선,하행선,구로-구일,구름,-13.5,0,2016,구로,구일
2016-01-24,일,KORAIL,일반철도,사고,안전사상사고-직원,직원(안전)-작업장 추락/넘어짐,인적요인,작업자,부주의/오류,1,0,1,0,0,경부선,,삼성-남성현,맑음,-12,0,2016,삼성,남성현
2016-01-23,토,KORAIL,도시철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0,경인선,하행선,부평-백운,구름,-9.2,0,2016,부평,백운
2016-01-21,목,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-건널목안 자동차 고장,인적요인,공중,불법행위,1,0,1,0,0,경원선,하행선,초성리-한탄강,구름,-10.1,0,2016,초성리,한탄강
2016-01-15,금,KORAIL,도시철도,사고,교통사상사고-직원,직원(교통)열차방호소홀,인적요인,역무원,부주의/오류,1,0,1,0,0,경부선,상행선,수원,구름,-3.4,1,2016,수원,
2016-01-10,일,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,중앙선,하행선,상봉-망우,구름,-0.5,0,2016,상봉,망우
2016-01-08,금,KORAIL,일반철도,사고,안전사상사고-직원,직원(안전)-작업장 추락/넘어짐,인적요인,작업자,부주의/오류,1,0,1,0,0,경부선,상행선,송탄,맑음,-4.2,0,2016,송탄,
2016-01-05,화,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-차단기 돌파/우회,인적요인,공중,불법행위,1,0,1,0,0,경전선,하행선,순천-원창,맑음,3,0,2016,순천,원창
2015-12-31,목,KORAIL,일반철도,사고,안전사상사고-공중,공중(안전)-전기감전,인적요인,공중,불법행위,1,0,1,0,0,영동선,,동해,구름,2.4,0,2015,동해,
2015-12-30,수,KORAIL,일반철도,사고,철도안전사고-철도화재사고,설비-전기화재,기술적요인,전철전력설비,설계/제작,0,0,0,0,0,경의선,,고양기지,구름,-4.7,0,2015,고양기지,
2015-12-25,금,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-일단정지 무시횡단,인적요인,공중,불법행위,0,0,0,0,0,동해남부선,하행선,경주-동방,구름,2,0,2015,경주,동방
2015-12-23,수,KORAIL,고속철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,9.8,경부선,상행선,사상-부산진,맑음,12.9,0,2015,사상,부산진
2015-12-22,화,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,36.9,경부선,상행선,구로-신도림,맑음,8.6,0,2015,구로,신도림
2015-12-20,일,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-기타,인적요인,공중,자살,1,1,0,0,0,충북선,상행선,목행-충주,구름,-0.3,0,2015,목행,충주
2015-12-18,금,KORAIL,도시철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0,안산선,상행선,고잔-중앙,구름,1.3,0,2015,고잔,중앙
2015-12-16,수,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-선로근접통행,인적요인,여객,불법행위,1,0,1,0,0,경부선,하행선,평택,구름,-1.4,0,2015,평택,
2015-12-11,금,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-일단정지 무시횡단,인적요인,공중,불법행위,1,0,0,1,0,동해남부선,하행선,모화-호계,구름,8.6,0,2015,모화,호계
2015-12-08,화,KORAIL,일반철도,사고,교통사상사고-직원,직원(교통)-부주의한 행동,인적요인,작업자,부주의/오류,1,0,0,1,0,경부선,하행선,삼성,맑음,14.8,0,2015,삼성,
2015-12-07,월,KORAIL,일반철도,사고,안전사상사고-직원,직원(안전)전기감전,인적요인,작업자,부주의/오류,1,0,1,0,0,충북선,,오송,맑음,-1.3,0,2015,오송,
2015-11-29,일,KORAIL,고속철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,21,경부선,하행선,서울-용산,구름,5.3,0,2015,서울,용산
2015-11-29,일,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,0,1,0,0,중앙선,,문수,구름,10.8,0,2015,문수,
2015-11-26,목,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경부선,하행선,금천구청,구름,-3.6,0,2015,금천구청,
2015-11-17,화,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,0,0,1,0,중앙선,상행선,중랑,맑음,14.4,0,2015,중랑,
2015-11-13,금,KORAIL,고속철도,사고,교통사상사고-직원,직원(교통)열차방호소홀,인적요인,작업자,기타,2,2,0,0,0,경부고속선,상행선,고모IEC-대구,비,12,0,2015,고모IEC,대구
2015-11-09,월,KORAIL,고속철도,사고,교통사상사고-공중,공중(교통)-선로근접통행,인적요인,공중,부주의/오류,1,0,0,1,0,경부선,,동대구,맑음,14.3,0,2015,동대구,
2015-11-01,일,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,불법행위,1,1,0,0,0,경부선,하행선,용산,구름,3,0,2015,용산,
2015-10-27,화,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경부선,상행선,명학,구름,13,0,2015,명학,
2015-10-25,일,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,호남선,상행선,연산-개태사,맑음,21.9,0,2015,연산,개태사
2015-10-25,일,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-차단기 돌파/우회,인적요인,공중,불법행위,1,1,0,0,0,대구선,상행선,하양-금호,맑음,15.4,0,2015,하양,금호
2015-10-24,토,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경부선,상행선,조치원,구름,19.4,0,2015,조치원,
2015-10-23,금,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,경전선,하행선,조성-예당,맑음,21,0,2015,조성,예당
2015-10-21,수,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,3,2,1,0,0,동해남부선,하행선,모화-호계,맑음,19.4,0,2015,모화,호계
2015-10-21,수,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경인선,하행선,백운,맑음,15.4,0,2015,백운,
2015-10-18,일,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,중앙선,하행선,망우,구름,9.4,0,2015,망우,
2015-10-11,일,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-차단기 돌파/우회,인적요인,공중,불법행위,1,0,1,0,0,대구선,상행선,하양,구름,12.9,0,2015,하양,
2015-10-05,월,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경원선,상행선,도봉산,맑음,16.8,0,2015,도봉산,
2015-10-03,토,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-기타,인적요인,여객,부주의/오류,1,0,0,1,0,경부선,하행선,오산,맑음,18,0,2015,오산,
2015-09-29,화,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,수인분당선(구.분당선),상행선,이매,맑음,23,0,2015,이매,
2015-09-28,월,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,0,1,0,0,경인선,하행선,주안,맑음,18.5,0,2015,주안,
